project_start_date,reporting_construction_type,extended_affordability_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,all_counted_units,total_units,total_adults_in_shelter,total_children_in_shelter,total_individuals_in_shelter,single_adult_men_in_shelter,single_adult_women_in_shelter,total_single_adults_in_shelter,families_with_children_in_shelter,adults_in_families_with_children_in_shelter,children_in_families_with_children_in_shelter,total_individuals_in_families_with_children_in_shelter_,adult_families_in_shelter,individuals_in_adult_families_in_shelter
2014-01-05,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,28964.0,21992.0,50956.0,7343.0,2684.6666666666665,10027.666666666666,10514.333333333334,14963.333333333334,21992.0,36955.333333333336,1874.3333333333333,3973.0
2014-01-12,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,0.42857142857142855,29086.14285714286,22071.428571428572,51157.57142857143,7387.714285714285,2719.4285714285716,10107.142857142857,10539.714285714286,15002.857142857143,22071.428571428572,37074.28571428572,1874.142857142857,3976.1428571428573
2014-01-19,0.5714285714285714,0.0,0.0,22.285714285714285,17.571428571428573,0.0,0.42857142857142855,40.857142857142854,40.857142857142854,29179.0,22176.85714285714,51355.857142857145,7375.0,2759.5714285714284,10134.57142857143,10596.714285714286,15075.57142857143,22176.85714285714,37252.42857142857,1873.142857142857,3968.8571428571427
2014-01-26,1.1428571428571428,0.14285714285714285,0.0,0.14285714285714285,26.0,1.4285714285714286,0.14285714285714285,28.142857142857142,28.142857142857142,29497.714285714286,22342.285714285714,51840.0,7505.714285714285,2797.285714285714,10303.0,10672.714285714286,15188.57142857143,22342.285714285714,37530.857142857145,1892.7142857142858,4006.1428571428573
2014-02-02,0.42857142857142855,0.0,0.0,4.0,16.142857142857142,0.0,0.42857142857142855,20.714285714285715,20.714285714285715,29542.85714285714,22475.0,52017.857142857145,7478.857142857143,2775.714285714286,10254.57142857143,10735.857142857143,15287.57142857143,22475.0,37762.57142857143,1891.2857142857142,4000.714285714286
2014-02-09,0.2857142857142857,0.0,1.1428571428571428,0.0,1.8571428571428572,0.0,0.2857142857142857,3.2857142857142856,8.428571428571429,29574.85714285714,22510.0,52084.857142857145,7474.571428571428,2756.1428571428573,10230.714285714286,10751.285714285714,15313.42857142857,22510.0,37823.42857142857,1905.5714285714287,4030.714285714286
2014-02-16,0.2857142857142857,0.14285714285714285,8.0,4.857142857142857,14.285714285714286,0.0,31.714285714285715,59.0,59.0,29674.14285714286,22493.428571428572,52167.57142857143,7560.428571428572,2773.5714285714284,10334.0,10741.714285714286,15308.42857142857,22493.428571428572,37801.857142857145,1904.4285714285713,4031.714285714286
2014-02-23,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.5714285714285714,0.5714285714285714,29695.0,22511.14285714286,52206.142857142855,7569.571428571428,2765.1428571428573,10334.714285714286,10748.42857142857,15332.142857142857,22511.14285714286,37843.28571428572,1900.7142857142858,4028.1428571428573
2014-03-02,0.7142857142857143,0.0,1.1428571428571428,0.0,2.2857142857142856,0.0,1.1428571428571428,4.714285714285714,9.285714285714286,29678.428571428572,22593.0,52271.42857142857,7561.0,2740.0,10301.0,10765.857142857143,15352.285714285714,22593.0,37945.28571428572,1897.7142857142858,4025.1428571428573
2014-03-09,0.5714285714285714,0.0,0.0,2.2857142857142856,4.285714285714286,9.571428571428571,1.2857142857142858,17.714285714285715,21.142857142857142,29597.166666666668,22541.0,52138.166666666664,7525.166666666667,2719.6666666666665,10244.833333333334,10754.5,15330.0,22541.0,37871.0,1893.3333333333333,4022.3333333333335
2014-03-16,0.5714285714285714,0.0,0.0,0.42857142857142855,4.142857142857143,9.428571428571429,0.2857142857142857,14.428571428571429,17.428571428571427,29606.428571428572,22507.285714285714,52113.71428571428,7551.714285714285,2720.285714285714,10272.0,10766.42857142857,15356.42857142857,22507.285714285714,37863.71428571428,1875.0,3978.0
2014-03-23,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.14285714285714285,9.714285714285714,0.0,0.0,10.285714285714286,10.285714285714286,29716.571428571428,22540.14285714286,52256.71428571428,7600.428571428572,2733.5714285714284,10334.0,10793.857142857143,15410.42857142857,22540.14285714286,37950.57142857143,1875.857142857143,3972.1428571428573
2014-03-30,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.857142857142858,29817.0,22573.0,52390.0,7622.428571428572,2759.4285714285716,10381.857142857143,10823.714285714286,15468.857142857143,22573.0,38041.857142857145,1876.2857142857142,3966.285714285714
2014-04-06,0.8571428571428571,0.2857142857142857,0.0,0.0,4.428571428571429,0.5714285714285714,0.2857142857142857,5.285714285714286,5.285714285714286,29969.571428571428,23070.85714285714,53040.42857142857,7539.285714285715,2707.1428571428573,10246.42857142857,10984.857142857143,15747.857142857143,23070.85714285714,38818.71428571428,1881.2857142857142,3975.285714285714
2014-04-13,0.42857142857142855,0.0,0.2857142857142857,0.0,1.4285714285714286,0.0,0.14285714285714285,1.8571428571428572,1.8571428571428572,29857.85714285714,22636.0,52493.857142857145,7554.857142857143,2732.1428571428573,10287.0,10888.285714285714,15572.714285714286,22636.0,38208.71428571428,1892.5714285714287,3998.1428571428573
2014-04-20,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.5714285714285714,0.5714285714285714,29926.14285714286,22577.428571428572,52503.57142857143,7641.142857142857,2752.0,10393.142857142857,10880.142857142857,15546.0,22577.428571428572,38123.42857142857,1889.5714285714287,3987.0
2014-04-27,0.42857142857142855,0.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,1.0,1.0,29977.85714285714,22619.14285714286,52597.0,7700.428571428572,2769.8571428571427,10470.285714285714,10900.0,15570.42857142857,22619.14285714286,38189.57142857143,1870.2857142857142,3937.1428571428573
2014-05-04,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.5714285714285714,0.5714285714285714,30021.14285714286,22679.428571428572,52700.57142857143,7647.285714285715,2762.285714285714,10409.57142857143,10958.57142857143,15657.0,22679.428571428572,38336.42857142857,1878.2857142857142,3954.5714285714284
2014-05-11,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,16.0,3.7142857142857144,0.0,20.0,20.0,30120.0,22761.428571428572,52881.42857142857,7612.714285714285,2752.285714285714,10365.0,11016.714285714286,15752.285714285714,22761.428571428572,38513.71428571428,1900.142857142857,4002.714285714286
2014-05-18,0.5714285714285714,0.0,0.0,0.0,14.0,0.0,0.42857142857142855,14.428571428571429,14.428571428571429,30298.0,22899.428571428572,53197.42857142857,7626.0,2787.714285714286,10413.714285714286,11086.285714285714,15853.57142857143,22899.428571428572,38753.0,1915.2857142857142,4030.714285714286
2014-05-25,0.2857142857142857,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,0.8571428571428571,1.7142857142857142,30333.14285714286,23002.285714285714,53335.42857142857,7579.714285714285,2801.4285714285716,10381.142857142857,11143.0,15937.142857142857,23002.285714285714,38939.42857142857,1910.0,4014.8571428571427
2014-06-01,0.7142857142857143,0.14285714285714285,2.4285714285714284,4.142857142857143,2.5714285714285716,0.0,0.14285714285714285,9.428571428571429,9.428571428571429,30291.285714285714,22999.428571428572,53290.71428571428,7573.428571428572,2792.5714285714284,10366.0,11144.285714285714,15935.285714285714,22999.428571428572,38934.71428571428,1899.857142857143,3990.0
2014-06-08,0.42857142857142855,0.14285714285714285,5.714285714285714,3.142857142857143,11.0,0.0,14.714285714285714,34.857142857142854,34.857142857142854,30318.14285714286,23046.85714285714,53365.0,7543.0,2783.1428571428573,10326.142857142857,11164.285714285714,15959.857142857143,23046.85714285714,39006.71428571428,1917.7142857142858,4032.1428571428573
2014-06-15,1.2857142857142858,0.2857142857142857,5.714285714285714,23.142857142857142,7.0,0.0,0.0,35.857142857142854,35.857142857142854,30419.14285714286,23137.428571428572,53556.57142857143,7557.571428571428,2811.0,10368.57142857143,11200.42857142857,16015.714285714286,23137.428571428572,39153.142857142855,1920.5714285714287,4034.8571428571427
2014-06-22,9.0,0.5714285714285714,0.0,5.428571428571429,96.0,6.571428571428571,3.857142857142857,112.71428571428571,198.57142857142858,30527.285714285714,23237.285714285714,53764.57142857143,7575.714285714285,2813.4285714285716,10389.142857142857,11255.285714285714,16090.42857142857,23237.285714285714,39327.71428571428,1923.7142857142858,4047.714285714286
2014-06-29,11.142857142857142,1.5714285714285714,104.14285714285714,81.28571428571429,430.7142857142857,11.142857142857142,70.42857142857143,701.8571428571429,793.2857142857143,30556.666666666668,23285.333333333332,53842.0,7529.0,2818.6666666666665,10347.666666666666,11282.333333333334,16154.666666666666,23285.333333333332,39440.0,1926.3333333333333,4054.3333333333335
2014-07-06,1.8571428571428572,0.2857142857142857,2.857142857142857,47.42857142857143,134.28571428571428,8.428571428571429,0.0,194.14285714285714,225.57142857142858,30479.285714285714,23260.714285714286,53740.0,7509.428571428572,2803.714285714286,10313.142857142857,11263.714285714286,16124.857142857143,23260.714285714286,39385.57142857143,1920.5714285714287,4041.285714285714
2014-07-13,0.2857142857142857,0.0,0.0,2.142857142857143,7.0,0.0,2.4285714285714284,11.714285714285714,11.714285714285714,30712.14285714286,23395.428571428572,54107.57142857143,7583.142857142857,2831.714285714286,10414.857142857143,11329.0,16227.857142857143,23395.428571428572,39623.28571428572,1932.857142857143,4069.4285714285716
2014-07-20,0.7142857142857143,0.0,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.8571428571428571,0.8571428571428571,30952.0,23488.571428571428,54440.57142857143,7648.142857142857,2882.5714285714284,10530.714285714286,11376.857142857143,16302.857142857143,23488.571428571428,39791.42857142857,1955.0,4118.428571428572
2014-07-27,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,31085.428571428572,23522.0,54607.42857142857,7656.428571428572,2909.1428571428573,10565.57142857143,11415.42857142857,16358.857142857143,23521.571428571428,39880.42857142857,1978.142857142857,4161.428571428572
2014-08-03,0.42857142857142855,0.0,1.1428571428571428,0.14285714285714285,41.0,0.0,0.14285714285714285,42.57142857142857,176.85714285714286,31057.85714285714,23624.14285714286,54682.0,7577.714285714285,2918.1428571428573,10495.857142857143,11437.285714285714,16405.85714285714,23622.85714285714,40028.71428571428,1975.0,4157.0
2014-08-10,0.8571428571428571,0.0,4.714285714285714,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,5.714285714285714,5.714285714285714,31103.714285714286,23635.85714285714,54739.57142857143,7569.428571428572,2935.4285714285716,10504.857142857143,11436.857142857143,16402.428571428572,23635.85714285714,40038.28571428572,1995.5714285714287,4196.428571428572
2014-08-17,0.42857142857142855,0.0,0.0,0.14285714285714285,1.1428571428571428,0.14285714285714285,0.2857142857142857,1.7142857142857142,5.428571428571429,31173.14285714286,23609.285714285714,54782.42857142857,7614.0,2957.4285714285716,10571.42857142857,11422.714285714286,16392.571428571428,23609.285714285714,40001.857142857145,2003.142857142857,4209.142857142857
2014-08-24,0.2857142857142857,0.0,8.714285714285714,0.0,17.0,0.0,0.14285714285714285,26.142857142857142,91.14285714285714,31277.714285714286,23667.714285714286,54945.42857142857,7638.714285714285,2971.8571428571427,10610.57142857143,11451.142857142857,16435.85714285714,23667.714285714286,40103.57142857143,2013.857142857143,4231.285714285715
2014-08-31,0.42857142857142855,0.0,0.0,0.0,12.714285714285714,0.0,0.42857142857142855,13.142857142857142,62.142857142857146,31266.714285714286,23725.714285714286,54992.42857142857,7626.285714285715,2974.285714285714,10600.57142857143,11452.42857142857,16429.285714285714,23725.714285714286,40155.0,2016.4285714285713,4236.857142857143
2014-09-07,1.0,0.0,0.0,0.0,0.2857142857142857,0.8571428571428571,0.5714285714285714,1.7142857142857142,1.7142857142857142,31374.428571428572,23872.571428571428,55247.0,7646.142857142857,2977.1428571428573,10623.285714285714,11493.142857142857,16486.14285714286,23872.571428571428,40358.71428571428,2027.857142857143,4265.0
2014-09-14,3.142857142857143,2.5714285714285716,1.1428571428571428,6.0,18.285714285714285,0.0,0.5714285714285714,26.571428571428573,26.571428571428573,31679.0,24072.0,55751.0,7720.142857142857,3012.8571428571427,10733.0,11581.857142857143,16623.0,24072.0,40695.0,2056.714285714286,4323.0
2014-09-21,0.5714285714285714,0.0,5.571428571428571,0.0,11.857142857142858,0.0,0.2857142857142857,17.714285714285715,22.571428571428573,31914.428571428572,24188.14285714286,56102.57142857143,7783.571428571428,3028.8571428571427,10812.42857142857,11648.142857142857,16718.714285714286,24188.14285714286,40906.857142857145,2085.5714285714284,4383.285714285715
2014-09-28,0.5714285714285714,0.0,0.0,0.0,0.42857142857142855,0.0,49.285714285714285,49.714285714285715,49.714285714285715,31992.0,24262.0,56254.0,7786.0,3038.714285714286,10824.714285714286,11696.57142857143,16775.14285714286,24262.0,41037.142857142855,2090.4285714285716,4392.142857142857
2014-10-05,0.5714285714285714,0.0,0.0,0.0,12.0,0.14285714285714285,0.2857142857142857,12.571428571428571,12.571428571428571,32049.333333333332,24377.0,56426.333333333336,7773.0,3029.3333333333335,10802.333333333334,11765.333333333334,16871.666666666668,24377.0,41248.666666666664,2082.3333333333335,4375.333333333333
2014-10-12,0.2857142857142857,0.0,0.0,0.0,3.142857142857143,0.2857142857142857,0.14285714285714285,3.5714285714285716,14.428571428571429,32257.666666666668,24537.0,56794.666666666664,7819.666666666667,3052.6666666666665,10872.333333333334,11833.333333333334,16968.666666666668,24537.0,41505.666666666664,2102.3333333333335,4416.666666666667
2014-10-19,0.0,0.0,0.0,20.285714285714285,1.5714285714285714,0.0,0.0,22.0,106.71428571428571,32427.2,24670.4,57097.6,7875.8,3069.0,10944.8,11895.4,17038.8,24670.4,41709.2,2114.6,4443.6
2014-10-26,0.2857142857142857,0.0,0.0,0.14285714285714285,3.7142857142857144,0.2857142857142857,0.14285714285714285,4.285714285714286,14.857142857142858,32595.571428571428,24796.285714285714,57391.857142857145,7949.285714285715,3099.1428571428573,11048.42857142857,11953.57142857143,17115.285714285714,24796.285714285714,41911.57142857143,2107.285714285714,4431.857142857143
2014-11-02,2.0,0.8571428571428571,42.57142857142857,25.571428571428573,38.714285714285715,7.428571428571429,0.5714285714285714,115.85714285714286,225.85714285714286,32651.85714285714,24894.14285714286,57546.0,7923.142857142857,3112.8571428571427,11036.0,12005.142857142857,17182.85714285714,24894.14285714286,42077.0,2102.8571428571427,4433.0
2014-11-09,0.42857142857142855,0.14285714285714285,0.0,0.0,10.142857142857142,0.0,0.14285714285714285,10.428571428571429,10.428571428571429,32790.42857142857,24966.14285714286,57756.57142857143,7956.714285714285,3100.714285714286,11057.42857142857,12063.285714285714,17263.428571428572,24966.14285714286,42229.57142857143,2118.285714285714,4469.571428571428
2014-11-16,0.42857142857142855,0.14285714285714285,4.285714285714286,0.14285714285714285,15.571428571428571,0.0,0.14285714285714285,20.285714285714285,20.285714285714285,33032.57142857143,25129.14285714286,58161.71428571428,8018.0,3129.714285714286,11147.714285714286,12140.857142857143,17384.428571428572,25129.14285714286,42513.57142857143,2132.5714285714284,4500.428571428572
2014-11-23,0.14285714285714285,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.8571428571428571,1.7142857142857142,33253.57142857143,25208.714285714286,58462.28571428572,8082.142857142857,3183.8571428571427,11266.0,12213.57142857143,17484.285714285714,25208.714285714286,42693.0,2136.1428571428573,4503.285714285715
2014-11-30,0.8571428571428571,0.14285714285714285,0.0,0.0,64.14285714285714,6.714285714285714,12.857142857142858,84.14285714285714,181.0,33257.42857142857,25255.428571428572,58512.857142857145,8069.857142857143,3157.0,11226.857142857143,12250.0,17529.85714285714,25255.428571428572,42785.28571428572,2134.4285714285716,4500.714285714285
2014-12-07,3.4285714285714284,0.0,0.0,0.14285714285714285,44.42857142857143,24.571428571428573,0.2857142857142857,70.71428571428571,120.85714285714286,33354.0,25309.14285714286,58663.142857142855,8108.285714285715,3169.8571428571427,11278.142857142857,12264.714285714286,17566.285714285714,25309.14285714286,42875.42857142857,2140.4285714285716,4509.571428571428
2014-12-14,0.2857142857142857,0.0,0.0,2.142857142857143,49.714285714285715,4.142857142857143,25.857142857142858,82.14285714285714,178.14285714285714,33494.57142857143,25440.428571428572,58935.0,8126.571428571428,3180.285714285714,11306.857142857143,12341.714285714286,17674.14285714286,25440.428571428572,43114.57142857143,2142.8571428571427,4513.571428571428
2014-12-21,11.857142857142858,0.0,139.14285714285714,18.571428571428573,209.57142857142858,14.285714285714286,6.142857142857143,390.57142857142856,499.2857142857143,33552.857142857145,25418.85714285714,58971.71428571428,8197.714285714286,3169.0,11366.714285714286,12337.57142857143,17700.0,25418.85714285714,43118.857142857145,2129.0,4486.142857142857
2014-12-28,1.5714285714285714,0.14285714285714285,30.714285714285715,36.857142857142854,169.57142857142858,0.0,3.142857142857143,241.14285714285714,241.14285714285714,33366.42857142857,25248.285714285714,58614.71428571428,8153.571428571428,3127.714285714286,11281.285714285714,12254.285714285714,17603.714285714286,25248.285714285714,42852.0,2126.5714285714284,4481.428571428572
2015-01-04,0.5714285714285714,0.42857142857142855,26.857142857142858,34.857142857142854,153.71428571428572,0.0,0.0,216.14285714285714,339.7142857142857,33198.42857142857,25032.428571428572,58230.857142857145,8142.857142857143,3114.1428571428573,11257.0,12148.57142857143,17470.0,25032.428571428572,42502.42857142857,2122.8571428571427,4471.428571428572
2015-01-11,0.42857142857142855,0.0,0.0,9.428571428571429,0.7142857142857143,0.0,0.2857142857142857,10.571428571428571,10.571428571428571,33453.857142857145,25009.571428571428,58463.42857142857,8268.285714285714,3172.0,11440.285714285714,12151.285714285714,17481.714285714286,25009.571428571428,42491.28571428572,2152.0,4531.857142857143
2015-01-18,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.42857142857142855,33613.57142857143,25010.14285714286,58623.71428571428,8353.42857142857,3174.285714285714,11527.714285714286,12166.285714285714,17508.714285714286,25010.14285714286,42518.857142857145,2171.714285714286,4577.142857142857
2015-01-25,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.7142857142857143,1.4285714285714286,33673.42857142857,24947.85714285714,58621.28571428572,8446.285714285714,3176.5714285714284,11622.857142857143,12147.142857142857,17478.85714285714,24947.85714285714,42426.71428571428,2168.4285714285716,4571.714285714285
2015-02-01,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,33682.28571428572,24899.0,58581.28571428572,8499.57142857143,3178.714285714286,11678.285714285714,12116.142857142857,17442.85714285714,24899.0,42341.857142857145,2167.1428571428573,4561.142857142857
2015-02-08,0.42857142857142855,0.14285714285714285,0.14285714285714285,7.0,18.285714285714285,0.0,0.0,25.428571428571427,25.428571428571427,33650.166666666664,24759.666666666668,58409.833333333336,8515.666666666666,3175.5,11691.166666666666,12052.833333333334,17389.0,24759.666666666668,42148.666666666664,2173.5,4570.0
2015-02-15,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5714285714285714,5.571428571428571,12.714285714285714,19.0,38.857142857142854,33646.666666666664,24588.833333333332,58235.5,8583.5,3178.6666666666665,11762.166666666666,11979.0,17310.166666666668,24588.833333333332,41899.0,2173.3333333333335,4574.333333333333
2015-02-22,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,33705.71428571428,24531.428571428572,58237.142857142855,8644.857142857143,3195.1428571428573,11840.0,11965.57142857143,17280.0,24531.428571428572,41811.42857142857,2178.1428571428573,4585.714285714285
2015-03-01,2.4285714285714284,0.0,6.142857142857143,4.571428571428571,33.285714285714285,0.14285714285714285,0.8571428571428571,45.57142857142857,64.14285714285714,33584.857142857145,24415.14285714286,58000.0,8656.0,3192.4285714285716,11848.42857142857,11905.857142857143,17181.14285714286,24415.14285714286,41596.28571428572,2162.8571428571427,4555.285714285715
2015-03-08,0.14285714285714285,0.0,0.0,0.0,9.142857142857142,0.42857142857142855,0.0,9.714285714285714,35.285714285714285,33567.857142857145,24333.428571428572,57901.28571428572,8649.857142857143,3192.714285714286,11842.57142857143,11885.285714285714,17166.571428571428,24333.428571428572,41500.0,2165.4285714285716,4558.714285714285
2015-03-15,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.42857142857142855,0.42857142857142855,33541.25,24310.25,57851.5,8634.25,3198.5,11832.75,11883.0,17160.5,24310.25,41470.75,2161.0,4548.0
2015-03-22,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714,1.4285714285714286,33528.0,24140.14285714286,57668.142857142855,8656.42857142857,3204.8571428571427,11861.285714285714,11845.57142857143,17106.428571428572,24140.14285714286,41246.57142857143,2165.8571428571427,4560.285714285715
2015-03-29,0.0,0.0,8.571428571428571,0.0,32.57142857142857,0.0,0.0,41.142857142857146,169.14285714285714,33456.142857142855,23964.428571428572,57420.57142857143,8662.0,3218.4285714285716,11880.42857142857,11781.857142857143,17008.714285714286,23964.428571428572,40973.142857142855,2171.1428571428573,4567.0
2015-04-05,0.0,0.0,0.0,0.14285714285714285,6.142857142857143,0.0,0.0,6.285714285714286,72.14285714285714,33288.0,23833.571428571428,57121.57142857143,8593.714285714286,3195.0,11788.714285714286,11755.42857142857,16937.571428571428,23833.571428571428,40771.142857142855,2170.1428571428573,4561.714285714285
2015-04-12,0.0,0.0,0.0,0.0,2.4285714285714284,0.0,0.0,2.4285714285714284,5.142857142857143,33319.42857142857,23768.285714285714,57087.71428571428,8666.285714285714,3203.714285714286,11870.0,11759.142857142857,16920.14285714286,23768.285714285714,40688.42857142857,2154.714285714286,4529.285714285715
2015-04-19,0.0,0.0,0.0,0.0,5.571428571428571,0.0,0.0,5.571428571428571,5.571428571428571,33284.142857142855,23746.85714285714,57031.0,8647.42857142857,3222.0,11869.42857142857,11760.142857142857,16914.285714285714,23746.85714285714,40661.142857142855,2143.1428571428573,4500.428571428572
2015-04-26,0.2857142857142857,0.14285714285714285,0.0,3.5714285714285716,3.2857142857142856,0.0,0.0,6.857142857142857,6.857142857142857,33256.0,23627.333333333332,56883.333333333336,8650.166666666666,3233.1666666666665,11883.333333333334,11733.0,16872.0,23627.333333333332,40499.333333333336,2144.0,4500.666666666667
2015-05-03,0.2857142857142857,0.0,0.0,7.428571428571429,5.571428571428571,2.142857142857143,0.0,15.285714285714286,28.571428571428573,33119.857142857145,23600.0,56719.857142857145,8554.57142857143,3232.285714285714,11786.857142857143,11729.285714285714,16861.428571428572,23600.0,40461.42857142857,2128.1428571428573,4471.571428571428
2015-05-10,0.8571428571428571,0.0,1.4285714285714286,7.142857142857143,82.42857142857143,8.857142857142858,16.571428571428573,116.71428571428571,227.14285714285714,33123.28571428572,23557.714285714286,56681.0,8562.0,3214.285714285714,11776.285714285714,11714.714285714286,16838.14285714286,23557.714285714286,40395.857142857145,2144.4285714285716,4508.857142857143
2015-05-17,0.42857142857142855,0.0,0.0,1.5714285714285714,59.285714285714285,5.714285714285714,0.8571428571428571,67.57142857142857,131.42857142857142,33182.5,23506.0,56688.5,8613.25,3238.25,11851.5,11707.25,16820.75,23506.0,40326.75,2147.75,4510.25
2015-05-24,0.2857142857142857,0.0,0.0,16.285714285714285,13.571428571428571,1.2857142857142858,3.142857142857143,34.42857142857143,91.85714285714286,33245.0,23482.333333333332,56727.333333333336,8624.666666666666,3242.3333333333335,11867.0,11734.333333333334,16856.333333333332,23482.333333333332,40338.666666666664,2152.6666666666665,4521.666666666667
